タイトル,巻数,著者・編者,出版元,出版年
朝鮮半島の考古学 ,世界の考古学10,"早乙女雅博著
藤本強, 菊池徹夫監修",同成社,2000
ヴァイキングの考古学,世界の考古学11,"ヒースマン姿子著
藤本強, 菊池徹夫監修",同成社,2000
中国の埋められた銭貨,世界の考古学12,"三宅俊彦著
藤本強, 菊池徹夫監修",同成社,2005
ポンペイの歴史と社会,世界の考古学13,"ロジャー リング (著), 堀 賀貴 (翻訳)
藤本強, 菊池徹夫監修",同成社,2007
エジプト文明の誕生,世界の考古学14,"高宮いづみ著
藤本強, 菊池徹夫監修",同成社,2003
人類誕生の考古学,世界の考古学15,"木村有紀著
藤本強, 菊池徹夫監修",同成社,2001
ムギとヒツジの考古学,世界の考古学16,"藤井純夫著
藤本強, 菊池徹夫監修",同成社,2001
都市誕生の考古学,世界の考古学17,"小泉龍人著
藤本強, 菊池徹夫監修",同成社,2001
チンギス=カンの考古学,世界の考古学19,"白石典之著
藤本強, 菊池徹夫監修",同成社,2001
稲の考古学,世界の考古学20,"中村慎一著
藤本強, 菊池徹夫監修",同成社,2002
文字の考古学Ⅰ,世界の考古学21,"菊池徹夫編
藤本強, 菊池徹夫監修",同成社,2003
文字の考古学Ⅱ,世界の考古学22,"菊池徹夫編
藤本強, 菊池徹夫監修",同成社,2004
バビロニア都市民の生活,世界の考古学23,"S.ダリー著 ; 大津忠彦, 下釜和也訳
藤本強, 菊池徹夫監修",同成社,2010
旧石器時代の考古学,シンポジウム［日本の考古学］１,岡村道雄ほか著,学生社,1998
縄文時代の考古学,シンポジウム［日本の考古学］２,小林達雄ほか著,学生社,1998
弥生時代の考古学,シンポジウム［日本の考古学］３,大塚初重ほか著,学生社,1998
古墳時代の考古学,シンポジウム［日本の考古学］４,白石太一郎ほか著,学生社,1998
歴史時代の考古学,シンポジウム［日本の考古学］５,網野善彦ほか著,学生社,1998
環境と食料生産,古代史の論点１,佐原真/都出比呂志編,小学館,2000
女と男、家と村,古代史の論点２,佐原真/都出比呂志編,小学館,1999
都市と工業と流通,古代史の論点３,田中琢/金関恕編,小学館,1998
権力と国家と戦争,古代史の論点４,"都出比呂志,田中琢編",小学館,1998
神と祭り,古代史の論点５,"金関恕,佐原真編",小学館,1999
日本人の起源と地域性,古代史の論点６,佐原真/田中琢編,小学館,1999
考古学への招待,,ジェイムス ディーツ (著) 　関俊彦 (翻訳),雄山閣,1994
雑穀の自然史 : その起源と文化を求めて,,"山口裕文, 河瀬眞琴編著",北海道大学図書刊行会,2003
野生植物と人類の共進化 (栽培植物の自然史 ; [1]),1,"山口裕文, 島本義也編著",北海道大学図書刊行会,2001
弥生時代の知識 (考古学シリーズ ; 5),5,"甲元真之, 山崎純男著",東京美術,1984
化石の知識 : 貝塚の貝  (考古学シリーズ ; 9),6,江坂輝弥著,東京美術,1983
貝塚の獣骨の知識 : 人と動物とのかかわり(考古学シリーズ ; 10),10,金子浩昌著,東京美術,1984
縄文土器の知識2 　中・後・晩期 (考古学シリーズ ;15),15,"麻生優, 白石浩之著",東京美術,1984-1986
土師器・須恵器の知識  (考古学シリーズ ; 17),17,"玉口時雄, 小金井靖著",東京美術,1984
墳丘と内部構造 (考古学シリーズ ; 19 . 古墳の知識 ; 1),19,白石太一郎著,東京美術,1985
縄文土器の知識Ⅰ　草創・早・前期,,麻生優、白石浩之著,東京美術,1986
縄文土器の知識Ⅱ　中・後・晩期　,,藤村東男著,東京美術,1984
もう二つの日本文化 : 北海道と南島の文化 (UP考古学選書 ; 2),2,藤本強著,東京大学出版会,1988
島の考古学 : 黒潮圏の伊豆諸島  (UP考古学選書 ; 3),3,橋口尚武著,東京大学出版会,1988
三角縁神獣鏡 (UP考古学選書 ; 4),4,近藤喬一著,東京大学出版会,1988
貝塚の考古学  (UP考古学選書 ; 5),5,鈴木公雄著,東京大学出版会,1989
斧の文化史  (UP考古学選書 ; 6),6,佐原真著,東京大学出版会,1994
旧石器時代の石槍 : 狩猟具の進歩　(UP考古学選書 ; 7),7,白石浩之著,東京大学出版会,1989
イオマンテの考古学  (UP考古学選書 ; 8),8,宇田川洋著,東京大学出版会,1989
弥生の布を織る : 機織りの考古学 (UP考古学選書 ; 9),9,竹内晶子著,東京大学出版会,1989
積石塚と渡来人 (UP考古学選書 ; 10),10,桐原健著,東京大学出版会,1989
弥生時代の始まり (UP考古学選書 ; 11),11,春成秀爾著,東京大学出版会,1990
水田の考古学  (UP考古学選書 ; 12),12,工楽善通著,東京大学出版会,1991
縄文の生態史観 (UP考古学選書 ; 13),13,西田正規著,東京大学出版会,1989
論争・学説日本の考古学,1 総論,"桜井清彦, 坂詰秀一編",雄山閣出版,1986-1989
論争・学説日本の考古学,2 先土器・縄文時代 1,"桜井清彦, 坂詰秀一編",雄山閣出版,1986-1989
論争・学説日本の考古学,3 縄文時代 2,"桜井清彦, 坂詰秀一編",雄山閣出版,1986-1989
論争・学説日本の考古学,4 弥生時代,"桜井清彦, 坂詰秀一編",雄山閣出版,1986-1989
論争・学説日本の考古学,5 古墳時代,"桜井清彦, 坂詰秀一編",雄山閣出版,1986-1989
論争・学説日本の考古学,6 歴史時代,"桜井清彦, 坂詰秀一編",雄山閣出版,1986-1989
論争・学説日本の考古学,別巻,"桜井清彦, 坂詰秀一編",雄山閣出版,1986-1989
研究の方法,岩波講座日本考古学1,"横山浩一[ほか]執筆
近藤義郎 [ほか] 編",岩波書店,1985
人間と環境,岩波講座日本考古学2,"加藤晋平 [ほか] 執筆
近藤義郎 [ほか] 編",岩波書店,1985
生産と流通,岩波講座日本考古学3,"甘粕健ほか執筆
近藤義郎 [ほか] 編",岩波書店,1986
集落と祭祀,岩波講座日本考古学4,"佐原眞ほか執筆
近藤義郎 [ほか] 編",岩波書店,1986
文化と地域性,岩波講座日本考古学5,"戸沢充則[ほか]執筆
近藤義郎 [ほか] 編",岩波書店,1986
変化と画期 ,岩波講座日本考古学6,"近藤義郎[ほか]執筆
近藤義郎 [ほか] 編",岩波書店,1986
現代と考古学,岩波講座日本考古学7,"田中琢ほか執筆
近藤義郎 [ほか] 編",岩波書店,1986
日本考古学研究の現状 : 文献解題 ; 1,岩波講座日本考古学 別巻1,近藤義郎 [ほか] 編,岩波書店,1986
日本考古学研究の現状 : 文献解題 ; 2,岩波講座日本考古学 別巻2,近藤義郎 [ほか] 編,岩波書店,1986
要説,古代の日本1,竹内理三編,角川書店,1971
風土と生活,古代の日本2,竹内理三編,角川書店,1971
九州,古代の日本3,"鏡山猛, 田村圓澄編",角川書店,1970
中国・四国,古代の日本4,"近藤義郎, 上田正昭編",角川書店,1970
中部,古代の日本6,"大場磐雄,下出積與編",角川書店,1970
関東,古代の日本7,"杉原荘介, 竹内理三編",角川書店,1970
東北,古代の日本8,"伊東信雄, 高橋富雄編",角川書店,1970
研究資料,古代の日本9,"岡崎敬,平野邦雄編",角川書店,1971
考古学研究法,日本考古学講座1,和島誠一編,河出書房,1955
考古学研究の歴史と現状 ,日本考古学講座2,三上次男編,河出書房,1955
縄文文化 ,日本考古学講座3,杉原荘介編,河出書房,1956
彌生文化,日本考古学講座4,杉原荘介編,河出書房,1955
古墳文化,日本考古学講座5,後藤守一編,河出書房,1955
歴史時代 / 古代,日本考古学講座6,"後藤守一, 石母田正編",河出書房,1956
歴史時代 / 中世・近世,日本考古学講座7,"後藤守一, 石母田正編",河出書房,1956
縄文弥生移行期の土器と石器  (考古学選書),,佐藤由紀男著,雄山閣出版,1956
日本の横穴墓  (考古学選書),,池上悟著,雄山閣出版,2000
縄文時代の渡来文化 : 刻文付有孔石斧とその周辺 (考古学選書),,"浅川利一, 安孫子昭二編",雄山閣,2002
現代社会の考古学,現代の考古学1,"岩崎卓也, 高橋龍三郎編
岩崎卓也編集代表",朝倉書店,2007
食糧獲得社会の考古学 ,現代の考古学2,"佐藤宏之編
岩崎卓也編集代表",朝倉書店,2005
食糧生産社会の考古学,現代の考古学3,"常木晃編
岩崎卓也編集代表",朝倉書店,1999
生産と技術の考古学,現代の考古学4,"高濱秀編
岩崎卓也編集代表",朝倉書店,2008
交流の考古学,現代の考古学5,"小川英文編
岩崎卓也編集代表",朝倉書店,2000
村落と社会の考古学,現代の考古学6,"高橋龍三郎編
岩崎卓也編集代表",朝倉書店,2001
国家形成の考古学,現代の考古学7,"岩崎卓也, 常木晃編
岩崎卓也編集代表",朝倉書店,2008
日本の古代米,考古学選書1,佐藤敏也著,雄山閣出版,1971
シンポジウム仏教考古学序説,考古学選書2,坂詰秀一編,雄山閣出版,1971
銅の考古学,考古学選書4,中口裕著,雄山閣出版,1972
中国の先史時代 : 新黄土地帯,考古学選書6,松崎壽和著,雄山閣出版,1972
関東の石器時代,考古学選書8,吉田格著,雄山閣出版,1973
円筒土器文化,考古学選書10,村越潔著,雄山閣出版,1974
前方後方墳,考古学選書11,茂木雅博著,雄山閣出版,1974
朱の考古学,考古学選書12,市毛勲著,雄山閣出版,1975
歴史考古学の構想と展開,考古学選書14,坂詰秀一著,雄山閣出版,1977
遺構の発掘と保存,考古学選書15,登石健三著,雄山閣出版,1977
渤海文化,考古学選書16,"朱栄憲著
在日本朝鮮人科学者協会歴史部会訳",雄山閣出版,1979
考古学よりみた中国古代,考古学選書17,張光直著 ; 量博満訳,雄山閣出版,1980
埋甕 : 古代の出産習俗,考古学選書18,木下忠著,雄山閣出版,1981
ツンドラの考古学 : カナダ・エスキモーの古代文化 ,考古学選書19,ロバート・マッギー著 ; スチュアート・ヘンリ訳,雄山閣出版,1982
韓国陶瓷史の研究,,尹龍二著 ; 片山まび訳,淡交社,1998
認知考古学とは何か,,"松本直子, 中園聡, 時津裕子編",青木書店,2003
考古地域史論,,戸沢充則著,新泉社,2004
日本の木造塔跡 : 心礎集成とその分析,考古学選書20,岩井隆次著,雄山閣出版,1982
中国古代の東西文化交流,考古学選書21,横田禎昭著,雄山閣出版,1983
東アジア古代社会と考古学,考古学選書22,リチャード・ピアソン著,雄山閣出版,1985
五世紀の高句麗文化,考古学選書23,"金日成綜合大学編 ; 呂南喆, 金洪圭訳",雄山閣出版,1985
日本農耕技術の起源と伝統,考古学選書24,木下忠著,雄山閣出版,1985
世界の農耕起源,考古学選書25,スチュアート・ヘンリ編著,雄山閣出版,1986
世界史のなかの縄文文化,考古学選書26,安田喜憲著,雄山閣出版,1987
考古花粉学,考古学選書27,藤則雄著,雄山閣出版,1987
絹と布の考古学,考古学選書28,布目順郎著,雄山閣出版,1988
前方後円墳の数理,考古学選書29,小澤一雅著,雄山閣出版,1988
縄文のムラと習俗,考古学選書30,桐原健著,雄山閣出版,1988
古墳時代史,考古学選書31,石野博信著,雄山閣出版,1990
歴史考古学の視角と実践 ,考古学選書32,坂詰秀一著,雄山閣出版,1990
日本旧石器時代史 ,考古学選書33,岡村道雄著,雄山閣出版,1990
日本の古代瓦,考古学選書34,森郁夫著,雄山閣出版,1991
東北日本の旧石器文化,考古学選書35,加藤稔著,雄山閣出版,1992
須恵器窯跡の分布と変遷,考古学選書36,中村浩著,雄山閣出版,1992
中国からみた邪馬台国と倭政権,考古学選書37,王巍著,雄山閣出版,1993
高句麗・渤海と古代日本,考古学選書38,在日本朝鮮社会科学者協会歴史部会編,雄山閣出版,1993
古代刀と鉄の科学,考古学選書39,"石井昌國, 佐々木稔著",雄山閣出版,1995
植物と考古学 ,考古学選書40,ジョフリー・ディンブルビー著 ; 小淵忠秋訳,雄山閣出版,1995
朝鮮民族と国家の源流 : 神話と考古学,考古学選書41,在日本朝鮮歴史考古学協会編訳,雄山閣出版,1995
考古学における層位学入門,考古学選書42,エドワード・ハリス著 ; 小沢一雅訳,雄山閣出版,1995
文化財保存科学ノート,,沢田正昭著,近未来社,1997
発掘調査の手びき,,文化庁文化財部記念物課 (監修),同成社,2016
考古学の基礎知識,,広瀬和雄編著,角川学芸出版,2007
考古学の基礎知識,,広瀬和雄編著,角川学芸出版,2007
考古学調査研究ハンドブックス,第1巻 野外編,岩崎卓也[ほか]編,雄山閣出版,1984-1985
考古学調査研究ハンドブックス,第2巻 室内編,岩崎卓也[ほか]編,雄山閣出版,1984-1985
考古学調査研究ハンドブックス,第3巻 研究編,岩崎卓也[ほか]編,雄山閣出版,1984-1985
考古学と人類学,考古学と自然科学1,"馬場悠男編
加藤晋平, 藤本強企画・監修",同成社,1998
考古学と動物学,考古学と自然科学2,"西本豊弘,松井章 編",同成社,1999
考古学と植物学,考古学と自然科学3,辻誠一郎 編,同成社,2000
考古学と年代測定学・地球科学,考古学と自然科学4,"松浦秀治, 上杉陽, 藁科哲男編
加藤晋平, 藤本強企画・監修",同成社,1999
考古学と調査・情報処理,考古学と自然科学5,"加藤晋平,藤本強 編",同成社,1999
考古学入門,,鈴木公雄著,東京大学出版会,1988
UP選書　考古学のための化学１０章,,"馬淵久夫,富永健 編",東京大学出版会,1981
考古学と化学をむすぶ  (UP選書 ; 278),278,"馬淵久夫, 富永健編",東京大学出版会,2000
考古資料と歴史学 (歴博大学院セミナー),,国立歴史民俗博物館編,吉川弘文館,1999
総論と研究法,講座考古地理学1,藤岡謙二郎 [ほか] 編,學生社,1982
古代都市,講座考古地理学2,藤岡謙二郎 [ほか] 編,學生社,1983
歴史的都市,講座考古地理学3,藤岡謙二郎 [ほか] 編,学生社,1985
村落と開発,講座考古地理学4,藤岡謙二郎 [ほか] 編,学生社,1985
生産と流通,講座考古地理学5,藤岡謙二郎 [ほか] 編,学生社,1989
房総考古学ライブラリー１,,千葉県文化財センター 編,千葉県文化財センター,1984
房総考古学ライブラリー２,,千葉県文化財センター 編,千葉県文化財センター,1985
房総考古学ライブラリー３,,千葉県文化財センター 編,千葉県文化財センター,1987
